"CASE_ID","CASE_PARTICIPANT_ID","DISPOSITION_DATE","ARREST_DATE","RESULT"
116680225773,63489456757,2018-08-21,2002-08-14,"Not Guilty"
123883822598,86557697471,2011-08-17,2004-04-11,"Not Guilty"
125787399561,87520773386,2012-06-27,2004-06-12,"Not Guilty"
127316805258,86835495485,2022-11-14,2004-08-10,"Not Guilty"
127488253112,86940139769,2017-06-05,2004-07-25,"Not Guilty"
127838064539,87289015188,2012-03-19,2004-08-13,"Not Guilty"
129281488259,88611834488,2012-11-20,2004-09-26,"Not Guilty"
130920719673,90085521312,2019-07-11,2004-04-12,"Not Guilty"
131646663539,91358953279,2013-06-20,2005-05-15,"Not Guilty"
134027115330,90807530182,2011-07-28,2005-09-14,"Not Guilty"
134747072455,91402608563,2012-07-12,2005-10-12,"Not Guilty"
138785335199,92033271503,2011-11-02,2005-07-08,"Not Guilty"
140333733313,92807327376,2011-01-21,2006-07-26,"Not Guilty"
141448608856,92884366112,2013-11-14,2006-08-24,"Not Guilty"
144948993953,99127255128,2011-06-17,2007-03-28,"Not Guilty"
146032800379,94911768853,2012-07-02,2006-03-02,"Not Guilty"
148362158438,98573722637,2017-02-21,2007-04-30,"Not Guilty"
149401580410,99076721385,2011-10-25,2007-06-13,"Not Guilty"
149792266822,100101015582,2011-11-01,2009-03-10,"Not Guilty"
149792266822,100101061439,2011-11-01,2009-02-13,"Not Guilty"
149792266822,100160032757,2011-11-01,2009-03-10,"Not Guilty"
149792266822,100521381115,2011-11-01,2009-03-10,"Not Guilty"
149805685378,98717757560,2014-06-18,2007-07-01,"Not Guilty"
149959482671,100226937231,2011-08-10,2008-12-01,"Not Guilty"
150578387750,96661098442,2011-05-24,2006-09-12,"Not Guilty"
151950073806,97124018705,2012-04-24,2007-09-25,"Not Guilty"
152409401292,97630823534,2013-08-21,2007-10-07,"Not Guilty"
152696351946,97536313513,2012-05-25,2007-10-29,"Not Guilty"
152931486330,98024821642,2011-07-15,2007-11-16,"Not Guilty"
155121291409,102793427700,2019-07-12,2014-05-13,"Not Guilty"
155679090450,102949431140,2013-10-04,2010-03-05,"Not Guilty"
156096097874,105087943916,2017-04-10,2009-02-13,"Not Guilty"
156895843797,107065409047,2013-03-25,2009-07-14,"Not Guilty"
157064711160,106840942015,2014-02-13,2009-07-28,"Not Guilty"
157082568161,107117456051,2013-06-14,2009-07-25,"Not Guilty"
157136345604,106900280185,2012-01-27,2009-08-02,"Not Guilty"
157309032095,106850663570,2013-11-15,2009-09-04,"Not Guilty"
157325547240,106901610020,2012-06-07,2009-08-07,"Not Guilty"
157419786789,106581669983,2012-07-18,2009-08-04,"Not Guilty"
157423605917,106849104453,2012-08-02,2009-08-04,"Not Guilty"
157502878615,107429646358,2013-10-28,2009-08-15,"Not Guilty"
157771972268,107425198288,2012-11-05,2009-09-02,"Not Guilty"
157774449540,107432397741,2012-03-09,2009-08-25,"Not Guilty"
157852586822,107472980647,2013-03-22,2009-06-26,"Not Guilty"
157900171085,107539839264,2012-01-31,2009-09-02,"Not Guilty"
158048807395,107837309670,2012-10-31,2009-09-16,"Not Guilty"
158060264777,107840886469,2011-08-05,2009-10-07,"Not Guilty"
158787344060,108110980609,2012-06-07,2009-09-08,"Not Guilty"
158787344060,108117538073,2012-06-15,2009-08-07,"Not Guilty"
158846901803,108297982970,2013-02-25,2009-10-27,"Not Guilty"
159224788977,107843591996,2013-11-22,2009-09-22,"Not Guilty"
159311390272,108439679217,2013-07-30,2009-11-08,"Not Guilty"
160023399484,103362138656,2014-01-29,2009-02-08,"Not Guilty"
160316646537,101163966716,2012-05-01,2008-06-28,"Not Guilty"
160372281933,101254854082,2012-06-12,2008-06-25,"Not Guilty"
160469721292,103581653197,2011-08-18,2009-02-05,"Not Guilty"
160474469396,101387516620,2011-04-21,2008-07-07,"Not Guilty"
160526388885,103524516135,2011-05-26,2009-02-08,"Not Guilty"
160751407743,103706978713,2013-01-16,2009-03-03,"Not Guilty"
160785057352,104109597822,2013-07-31,2009-03-04,"Not Guilty"
160807559238,103642229489,2015-09-23,2009-03-13,"Not Guilty"
160870626450,103854957285,2011-08-26,2009-03-04,"Not Guilty"
161028552529,103818684880,2012-02-01,2009-03-06,"Not Guilty"
161237675560,103850234077,2013-06-21,2009-03-17,"Not Guilty"
161237675560,103909572247,2022-07-11,2009-02-24,"Not Guilty"
161288356412,104268627785,2011-12-05,2009-03-19,"Not Guilty"
161681932975,104141422157,2011-11-08,2009-04-10,"Not Guilty"
161731788070,104171641519,2014-04-22,2009-04-20,"Not Guilty"
161811680087,104149447026,2013-02-22,2009-05-12,"Not Guilty"
161943698031,104437654441,2013-04-10,2009-04-29,"Not Guilty"
162058581512,104418761608,2013-10-22,2009-04-23,"Not Guilty"
162176045485,104266426678,2012-03-15,2009-04-25,"Not Guilty"
162203605134,101989932024,2011-01-27,2008-06-19,"Not Guilty"
162203605134,102297444979,2011-01-27,2008-06-24,"Not Guilty"
162271420451,98887151067,2011-01-07,2008-09-08,"Not Guilty"
162808265900,99127805405,2012-06-29,2008-09-22,"Not Guilty"
162808265900,99404181871,2012-06-29,2008-09-21,"Not Guilty"
162884029130,99085755094,2012-06-07,2007-11-23,"Not Guilty"
162951534788,349733484425,2013-09-19,2011-09-22,"Not Guilty"
163504792163,99261476783,2013-01-14,2008-10-07,"Not Guilty"
163504792163,99548904639,2013-01-14,2008-10-11,"Not Guilty"
163560633999,99526572577,2011-07-25,2008-10-07,"Not Guilty"
163586335695,99213465142,2011-03-10,2008-10-11,"Not Guilty"
164833435622,100240510722,2011-02-07,2008-01-08,"Not Guilty"
164964731029,100401237371,2012-09-11,2008-01-11,"Not Guilty"
166083632139,100885710138,2013-04-10,2008-02-13,"Not Guilty"
166496407558,100649962434,2013-09-16,2008-02-25,"Not Guilty"
166771900830,100640149166,2011-02-09,2008-02-25,"Not Guilty"
167434983923,100641158007,2011-03-03,2008-03-03,"Not Guilty"
167801826593,106370272022,2012-12-03,2009-12-21,"Not Guilty"
